apartment_id,apartment_nm,apartment_price,region_cd,region_nm,exclusive_area,deleted_yn,created_at,updated_at
133,e편한세상두류역,485000000,27170,대구광역시 서구,23,0,2024.5.22 10:19,2024.5.22 10:19
134,e편한세상두정3차,337000000,44133,충청남도 천안시 서북구,23,0,2024.5.22 10:19,2024.5.22 10:19
135,e편한세상두정4차,265000000,44133,충청남도 천안시 서북구,19,0,2024.5.22 10:19,2024.5.22 10:19
136,e편한세상둔산2단지,617000000,30170,대전광역시 서구,22,0,2024.5.22 10:19,2024.5.22 10:19
137,e편한세상디오션시티,265000000,52130,전북특별자치도 군산시,18,0,2024.5.22 10:19,2024.5.22 10:19
138,e편한세상디오션시티2차,565000000,52130,전북특별자치도 군산시,35,0,2024.5.22 10:19,2024.5.22 10:19
139,e편한세상명지,600000000,26440,부산광역시 강서구,30,0,2024.5.22 10:19,2024.5.22 10:19
140,e편한세상무등산,430000000,29110,광주광역시 동구,26,0,2024.5.22 10:19,2024.5.22 10:19
141,e편한세상밀양삼문,355000000,48270,경상남도 밀양시,26,0,2024.5.22 10:19,2024.5.22 10:19
142,e편한세상반월나노시티역,530000000,41590,경기도 화성시,18,0,2024.5.22 10:19,2024.5.22 10:19
143,e편한세상범어,632000000,27260,대구광역시 수성구,26,0,2024.5.22 10:19,2024.5.22 10:19
144,e편한세상보령,338000000,44180,충청남도 보령시,26,0,2024.5.22 10:19,2024.5.22 10:19
145,e편한세상복현,517000000,27230,대구광역시 북구,26,0,2024.5.22 10:19,2024.5.22 10:19
146,e편한세상봉곡,275000000,47190,경상북도 구미시,26,0,2024.5.22 10:19,2024.5.22 10:19
147,e편한세상봉명아너리움,283000000,44131,충청남도 천안시 동남구,18,0,2024.5.22 10:19,2024.5.22 10:19
148,e편한세상봉황역,320000000,48250,경상남도 김해시,18,0,2024.5.22 10:19,2024.5.22 10:19
149,e편한세상부산항,555000000,26170,부산광역시 동구,26,0,2024.5.22 10:19,2024.5.22 10:19
150,e편한세상사하,263000000,26380,부산광역시 사하구,18,0,2024.5.22 10:19,2024.5.22 10:19
151,e편한세상사하2차,335000000,26380,부산광역시 사하구,26,0,2024.5.22 10:19,2024.5.22 10:19
152,e편한세상삼척교동,210000000,51230,강원특별자치도 삼척시,23,0,2024.5.22 10:19,2024.5.22 10:19
153,e편한세상상록,357000000,41271,경기도 안산시 상록구,18,0,2024.5.22 10:19,2024.5.22 10:19
